Logged At,Account Status Type,Identity,Endpoint ID,Endpoint IP Address,Account Authentication,Account TerminateCause,Account Session ID,Audit Session ID,Account Session Time,Network Device Name,Network Device IP,Device Port,Server
57:47.0,Stop,hoffsttj,C4:D9:87:F2:96:E4,10.1.132.91,RADIUS,User Request,8FC00A27,0a01800a00b4e0005a78501f,29991,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
57:43.4,Stop,martinse,60:67:20:DF:46:64,10.1.131.94,RADIUS,Idle Timeout,8FC00C48,0a01800a00dd30005a789d5d,10212,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
57:43.1,Stop,wadeljl,44:39:C4:18:D2:34,10.1.131.53,RADIUS,User Request,8FC00AFD,0a01800a00c580005a785dd6,26478,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
57:05.8,Stop,vlcekdc,90:2E:1C:94:74:D3,10.1.131.47,RADIUS,User Request,8FC00AF3,0a01800a00c4c0005a785c85,26776,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
56:13.4,Stop,GRUVERT,A8:13:74:3C:63:C8,10.1.132.92,RADIUS,Idle Timeout,8FC00A28,0a01800a00b4f0005a785029,29890,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
56:11.8,Stop,teetorjr,8C:C1:21:A1:32:A3,10.1.128.227,RADIUS,User Request,8FC00AAF,0a01800a00bf40005a785920,27591,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
55:38.0,Stop,starkth,84:3A:4B:1F:37:FC,10.1.129.35,RADIUS,User Request,8FC00BC7,0a01800a00d380005a7878a9,19485,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
55:06.7,Stop,johnsoc,10:4A:7D:BD:B5:B9,10.1.130.245,RADIUS,User Request,8FC00C0D,0a01800a00d8e0005a78899f,15113,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
54:34.7,Stop,beauchm,84:3A:4B:1F:43:CC,10.1.128.146,RADIUS,User Request,8FC00B96,0a01800a00d020005a786e56,22062,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
53:51.6,Stop,stantomd,C4:D9:87:49:86:7B,10.1.129.233,RADIUS,User Request,8FC00AE5,0a01800a00c3c0005a785c18,26691,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
53:47.3,Stop,simonrh,84:3A:4B:01:5C:FC,10.1.130.55,RADIUS,User Request,8FC00B12,0a01800a00c6c0005a785e6e,26086,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
53:43.4,Stop,bolintc,F0:42:1C:26:C0:91,10.1.128.251,RADIUS,Idle Timeout,8FC00B1D,0a01800a00c790005a785fe7,25708,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
53:30.0,Stop,reedj1,10:4A:7D:C2:FF:D8,10.1.129.176,RADIUS,User Request,8FC00A48,0a01800a00b790005a785297,29101,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
53:19.9,Stop,maxweld,F0:42:1C:7F:D8:F7,10.1.129.223,RADIUS,User Request,8FC00ADD,0a01800a00c2d0005a785bb7,26756,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
53:19.5,Stop,gougercj,80:00:0B:9A:DB:1B,10.1.129.66,RADIUS,User Request,8FC00C84,0a01800a00e1c0005a78bd0b,1841,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
53:13.4,Stop,eppsbt,6C:88:14:C8:2B:90,10.1.129.63,RADIUS,Idle Timeout,8FC00C80,0a01800a00e180005a78bc66,1999,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
53:13.4,Stop,bettlerd,84:3A:4B:02:59:E0,10.1.130.166,RADIUS,Idle Timeout,8FC00A08,0a01800a00b2d0005a784ca4,30607,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
53:11.6,Start,gorskik,C4:D9:87:48:D8:3E,10.1.130.45,RADIUS,,8FC00C99,0a01800a00e340005a78c433,,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
52:37.4,Stop,stravimt,10:4A:7D:BD:B5:E1,10.1.129.222,RADIUS,User Request,8FC00A0B,0a01800a00b300005a784dfe,30227,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
52:18.5,Stop,goldajs,F0:42:1C:7F:E5:0E,10.1.129.192,RADIUS,User Request,8FC00AA7,0a01800a00beb0005a7858f2,27404,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
52:17.6,Stop,whittire,C4:D9:87:F4:9B:4C,10.1.128.243,RADIUS,User Request,8FC00ABE,0a01800a00c050005a785986,27255,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
52:16.1,Start,fowleral,C4:D9:87:83:BC:B0,10.1.132.81,RADIUS,,8FC00C98,0a01800a00e330005a78c3fb,,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
51:51.8,Start,elziedo,90:2E:1C:75:51:A7,10.1.132.78,RADIUS,,8FC00C97,0a01800a00e310005a78c3e2,,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
51:43.4,Stop,struckkj,60:67:20:DF:56:1C,10.1.132.76,RADIUS,Idle Timeout,8FC00A18,0a01800a00b3f0005a784f9f,29755,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
51:20.9,Stop,baysjl,C4:D9:87:48:D0:6E,10.1.129.231,RADIUS,User Request,8FC00AE3,0a01800a00c380005a785c0b,26554,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
51:13.0,Start,hernanma,84:3A:4B:A0:C7:68,10.1.130.92,RADIUS,,8FC00C96,0a01800a00e300005a78c3bb,,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
49:31.6,Stop,wastelte,4C:EB:42:AD:7F:64,10.1.130.83,RADIUS,User Request,8FC00C67,0a01800a00df80005a78aa2a,6444,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
48:55.1,Start,bayeskb,C4:D9:87:41:53:48,10.1.130.185,RADIUS,,8FC00C95,0a01800a00e2d0005a78c334,,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
48:39.5,Stop,stilldb,C4:D9:87:5F:36:FB,10.1.130.178,RADIUS,User Request,8FC00B06,0a01800a00c610005a785e14,25870,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
48:04.0,Stop,bierlytl,58:91:CF:15:DB:B9,10.1.131.29,RADIUS,User Request,8FC00A5F,0a01800a00b940005a785457,28328,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
47:18.1,Stop,hardb,F0:42:1C:26:8D:15,10.1.129.136,RADIUS,User Request,8FC00AA0,0a01800a00be30005a785805,27340,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
47:13.4,Stop,rileypj,10:4A:7D:A9:FF:DD,10.1.129.166,RADIUS,Idle Timeout,8FC00A3F,0a01800a00b6c0005a785267,28775,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
46:33.8,Stop,hendertl,90:2E:1C:94:74:C4,10.1.132.89,RADIUS,User Request,8FC00A25,0a01800a00b4c0005a785014,29329,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
46:27.8,Stop,ingstrdj,8C:70:5A:D8:CD:BC,10.1.129.180,RADIUS,User Request,8FC00A4E,0a01800a00b820005a7853ad,28402,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
46:07.4,Stop,dawsonrt,F0:42:1C:7F:E2:6B,10.1.128.235,RADIUS,User Request,8FC00AB6,0a01800a00bfa0005a785963,26920,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
45:32.8,Stop,Wesoloc,F4:8C:50:81:2C:2A,10.1.131.113,RADIUS,User Request,8FC00C93,0a01800a00e2b0005a78c083,485,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
44:46.7,Stop,nelsonre,F0:42:1C:3C:23:87,10.1.130.161,RADIUS,User Request,8FC00A03,0a01800a00b260005a784b78,30403,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
44:34.8,Stop,romainjg,84:3A:4B:1F:2C:08,10.1.130.2,RADIUS,User Request,8FC00BE0,0a01800a00d580005a787ca9,17797,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
43:53.6,Stop,shacklrd,C4:D9:87:F6:B3:78,10.1.129.205,RADIUS,User Request,8FC00ACE,0a01800a00c1a0005a785a89,26492,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
43:33.6,Stop,connct,A4:C4:94:79:5B:AD,10.1.132.151,RADIUS,User Request,8FC00C87,0a01800a00e1e0005a78bd31,1213,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
43:26.1,Stop,macdonml,8C:70:5A:6C:F6:9C,10.1.129.182,RADIUS,User Request,8FC00A50,0a01800a00b830005a7853c8,28191,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
43:02.4,Stop,jaggsk,C4:D9:87:5F:3C:4B,10.1.129.218,RADIUS,User Request,8FC00ADB,0a01800a00c2a0005a785b0b,26311,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
42:55.1,Stop,davisjn,BC:A8:A6:4F:1B:59,10.1.129.171,RADIUS,User Request,8FC00A43,0a01800a00b700005a785278,28500,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
42:50.7,Stop,milakeja,C4:D9:87:17:98:7D,10.1.130.11,RADIUS,User Request,8FC00BF6,0a01800a00d700005a788317,16049,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
42:23.1,Stop,couchj,C4:D9:87:EF:9F:2A,10.1.132.68,RADIUS,User Request,8FC00A12,0a01800a00b390005a784f69,29251,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
42:19.9,Stop,wardsc,C4:D9:87:F6:9F:AF,10.1.129.119,RADIUS,User Request,8FC00A9A,0a01800a00bdd0005a7857ef,27064,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
41:29.6,Stop,tacketd1,A8:13:74:3E:EC:F0,10.1.132.86,RADIUS,User Request,8FC00A22,0a01800a00b480005a785006,29037,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
40:53.5,Stop,BernarJ,80:00:0B:47:92:1C,10.1.130.231,RADIUS,User Request,8FC00B9E,0a01800a00d0a0005a786f15,21052,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
40:43.3,Stop,rhielks,84:3A:4B:02:5A:64,10.1.128.207,RADIUS,Idle Timeout,8FC00A77,0a01800a00bb10005a78563d,27400,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
39:55.5,Stop,johnstc,F0:42:1C:7F:E1:44,10.1.129.187,RADIUS,User Request,8FC00A92,0a01800a00bd00005a785798,27006,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
39:43.0,Stop,rower,34:E6:D7:3E:9F:0F,10.1.130.91,RADIUS,User Request,8FC00C8A,0a01800a00e200005a78bd71,890,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
39:18.4,Stop,hollantl,F0:42:1C:B5:56:17,10.1.130.184,RADIUS,User Request,8FC009E2,0a01800a00b040005a78429d,32340,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
39:13.3,Stop,grizzlsd,F0:42:1C:B4:4D:49,10.1.128.211,RADIUS,Idle Timeout,8FC00A7B,0a01800a00bb50005a78564e,27296,hershey-dc-pa-vpn01,10.1.128.10,,hdnplpsns001
