"Logged_At","RADIUS_Status","Identity","Endpoint_ID","Endpoint_Profile","Authorization_Rule","Server","Network_Device","Device_Type","Location","Network_Device_IP","Device_Port","Event","Service_Type","Authentication_Protocol","Credential_Check","Failure_Reason","MapLocation",
"2018-03-26 23:58:31.397","1","clarkmn","7C:5C:F8:B6:A9:81","Microsoft-Workstation","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 23:54:28.026","1","heymanj","34:02:86:BC:91:E3","Windows7-Vista-2008","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 23:49:42.329","1","ghilinln","F0:42:1C:7F:F0:F3","Microsoft-Workstation","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 23:49:09.896","1","abramsfa","7C:5C:F8:A0:DD:22","Microsoft-Workstation","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 23:37:47.446","1","woodbuka","24:77:03:6C:E2:3C","Windows7-Vista-2008","VPN-EMPLOYEE","hsyplpsns001","hershey-dc-pa-vpn01","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.10","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 23:37:26.904","1","linj","F0:D5:BF:D8:CE:35","Windows10-Workstation","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 23:36:03.661","1","woodla","14:AB:C5:41:87:37","Windows10-Workstation","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 23:35:25.123","1","leeea","A8:13:74:3C:8F:15","Microsoft-Workstation","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 23:29:31.9","1","asbellwl","F0:42:1C:26:8D:6F","Microsoft-Workstation","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 23:29:02.928","1","ariascd","90:2E:1C:8F:01:4C","Windows7-Vista-2008","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 23:23:22.924","1","toolans","C4:D9:87:37:36:0B","Windows7-Vista-2008","VPN-EMPLOYEE","hsyplpsns001","hershey-dc-pa-vpn01","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.10","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 23:22:53.861","1","cervanh","8C:70:5A:6C:9A:C4","Microsoft-Workstation","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 23:18:20.459","1","macekmj","B8:8A:60:7C:71:5D","Microsoft-Workstation","VPN-EMPLOYEE","hsyplpsns001","hershey-dc-pa-vpn01","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.10","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 23:15:52.041","1","stoneta","80:00:0B:6E:92:2C","Windows7-Vista-2008","VPN-EMPLOYEE","hsyplpsns001","hershey-dc-pa-vpn01","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.10","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 23:07:24.917","1","thomasj5","A0:88:69:FB:49:D3","Windows10-Workstation","VPN-EMPLOYEE","hsyplpsns001","hershey-dc-pa-vpn01","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.10","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 23:00:29.733","1","macekmj","B8:8A:60:7C:71:5D","Microsoft-Workstation","VPN-EMPLOYEE","hdnplpsns001","haddon-dc-nj-vpn01","All Device Types#Firewalls#ASA","All Locations#Production#DR Site","10.2.128.10","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 22:53:35.89","1","farntrut","C4:D9:87:49:9B:A2","Windows7-Vista-2008","VPN-EMPLOYEE","hsyplpsns001","hershey-dc-pa-vpn01","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.10","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 22:52:43.198","1","yadavm","80:00:0B:72:DD:D7","Microsoft-Workstation","VPN-EMPLOYEE","hsyplpsns001","hershey-dc-pa-vpn01","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.10","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 22:50:35.222","1","lanchosl","4C:34:88:43:9E:5F","Windows7-Vista-2008","VPN-EMPLOYEE","hsyplpsns001","hershey-dc-pa-vpn01","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.10","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 22:46:57.411","1","thornde","34:F3:9A:6D:F1:69","Windows10-Workstation","VPN-EMPLOYEE","hsyplpsns001","hershey-dc-pa-vpn01","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.10","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 22:45:14.006","1","waltercs","A4:C4:94:76:B6:91","Microsoft-Workstation","VPN-EMPLOYEE","hdnplpsns001","haddon-dc-nj-vpn01","All Device Types#Firewalls#ASA","All Locations#Production#DR Site","10.2.128.10","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 22:44:35.694","1","oeckinmr","F0:42:1C:B4:78:F5","Microsoft-Workstation","VPN-EMPLOYEE","hsyplpsns001","hershey-dc-pa-vpn01","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.10","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 22:39:09.354","1","perumas1","F0:D5:BF:D8:CE:7B","Microsoft-Workstation","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 22:36:43.187","1","ballarhr","34:02:86:D9:ED:B0","Windows7-Vista-2008","VPN-EMPLOYEE","hsyplpsns001","hershey-dc-pa-vpn01","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.10","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 22:36:07.711","1","jurpalsf","AC:7B:A1:DE:87:E4","Microsoft-Workstation","VPN-EMPLOYEE","hsyplpsns001","hershey-dc-pa-vpn01","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.10","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 22:34:31.264","1","gallagsa","90:2E:1C:94:77:B7","Microsoft-Workstation","VPN-EMPLOYEE","hsyplpsns001","hershey-dc-pa-vpn01","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.10","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 22:33:39.609","1","bofficf","F8:63:3F:49:AF:02","Windows10-Workstation","VPN-EMPLOYEE","hsyplpsns001","hershey-dc-pa-vpn01","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.10","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 22:32:06.58","1","KUNIGAH","24:77:03:2C:D6:30","Windows7-Vista-2008","VPN-EMPLOYEE","hsyplpsns001","hershey-dc-pa-vpn01","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.10","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 22:30:38.257","1","munnsmr","F4:8C:50:A1:12:92","Microsoft-Workstation","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 22:30:31.948","1","Daustedm","E8:B1:FC:9B:B4:23","Microsoft-Workstation","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 22:29:42.458","1","alpizaja","E4:A4:71:16:1F:DE","Microsoft-Workstation","VPN-EMPLOYEE","hsyplpsns001","hershey-dc-pa-vpn01","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.10","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 22:29:13.115","1","akmentgl","44:39:C4:19:F3:B4","Windows7-Vista-2008","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 22:24:33.947","1","mcdermgp","10:4A:7D:A9:58:7B","Microsoft-Workstation","VPN-EMPLOYEE","hsyplpsns001","hershey-dc-pa-vpn01","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.10","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 22:23:46.316","1","fiscusja","44:39:C4:18:D0:96","Windows7-Vista-2008","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 22:22:40.937","1","malisze","E4:A4:71:07:9E:C8","Microsoft-Workstation","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 22:22:39.027","1","gallagsa","90:2E:1C:94:77:B7","Microsoft-Workstation","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
"2018-03-26 22:20:39.699","1","motleyme","44:39:C4:18:EE:64","Windows7-Vista-2008","VPN-EMPLOYEE","hdnplpsns001","hershey-dc-pa-vpn02","All Device Types#Firewalls#ASA","All Locations#Production","10.1.128.11","","Authentication succeeded","","PAP_ASCII","PAP_ASCII","","",
