Client User Name,Client Host,Client Host Groups,Server Host,Server Host Groups,Duration,Application,Service Summary,Total Traffic (bps),Total Bytes,Total Packets,Start Active Time,Client Bytes,Client Ratio (%),Server Bytes,First Client Port Seen,Server Port
,10.1.9.27,"PA-HERSHEY-DTACTR, Systems Management",10.1.70.42,"PA-HERSHEY-DTACTR, DB Servers",126 days 1 hour 27 minutes,SQL-server (unclassified),sql-server (1433/tcp),5.93563709790795E7,1773271583,1578279,"Oct 4, 2017 3:42:21 PM",20250316,1.142,1753021267,49182,1433
,10.1.69.136,PA-HERSHEY-DTACTR,10.1.70.204,"PA-HERSHEY-DTACTR, DB Servers",52 days 8 hours 38 minutes,Undefined TCP,Undefined TCP (30015/tcp),5.412235367364017E7,1616905316,1739823,"Dec 17, 2017 7:31:05 AM",142516200,8.8141,1474389116,22385,30015
,10.1.69.147,PA-HERSHEY-DTACTR,10.1.70.204,"PA-HERSHEY-DTACTR, DB Servers",52 days 8 hours 36 minutes,Undefined TCP,Undefined TCP (30015/tcp),5.09659749958159E7,1522608503,2179214,"Dec 17, 2017 7:33:09 AM",548037751,35.9933,974570752,42814,30015
"boltesg, greamjw, radcliwe, weisenj",10.1.9.52,"PA-HERSHEY-DTACTR, SolarWinds, Systems Management",10.1.70.172,"PA-HERSHEY-DTACTR, DB Servers",134 days 6 hours 19 minutes,SQL-server (unclassified),sql-server (1433/tcp),3.6029005656903766E7,1076366544,1133949,"Sep 26, 2017 10:50:36 AM",164929263,15.3228,911437281,49186,1433
,10.1.69.145,PA-HERSHEY-DTACTR,10.1.70.204,"PA-HERSHEY-DTACTR, DB Servers",52 days 8 hours 37 minutes,Undefined TCP,Undefined TCP (30015/tcp),3.0665063196652718E7,916118763,1411425,"Dec 17, 2017 7:32:45 AM",258285789,28.1935,657832974,18513,30015
,10.1.69.144,PA-HERSHEY-DTACTR,10.1.70.204,"PA-HERSHEY-DTACTR, DB Servers",52 days 8 hours 37 minutes,Undefined TCP,Undefined TCP (30015/tcp),2.5764166861924686E7,769704485,1119756,"Dec 17, 2017 7:32:42 AM",201506395,26.1797,568198090,24270,30015
,10.1.69.140,PA-HERSHEY-DTACTR,10.1.70.204,"PA-HERSHEY-DTACTR, DB Servers",52 days 8 hours 38 minutes,Undefined TCP,Undefined TCP (30015/tcp),2.406347350627615E7,718896271,883269,"Dec 17, 2017 7:31:39 AM",159136002,22.1362,559760269,48270,30015
,10.1.69.138,PA-HERSHEY-DTACTR,10.1.70.204,"PA-HERSHEY-DTACTR, DB Servers",52 days 8 hours 38 minutes,Undefined TCP,Undefined TCP (30015/tcp),2.1886198426778242E7,653850178,592737,"Dec 17, 2017 7:31:30 AM",41655980,6.3709,612194198,39901,30015
,10.1.69.141,PA-HERSHEY-DTACTR,10.1.70.204,"PA-HERSHEY-DTACTR, DB Servers",52 days 8 hours 38 minutes,Undefined TCP,Undefined TCP (30015/tcp),2.1533153104602512E7,643302949,605535,"Dec 17, 2017 7:31:44 AM",47008814,7.3074,596294135,29086,30015
,10.1.69.143,PA-HERSHEY-DTACTR,10.1.70.204,"PA-HERSHEY-DTACTR, DB Servers",52 days 8 hours 37 minutes,Undefined TCP,Undefined TCP (30015/tcp),1.2891485020920502E7,385133115,494528,"Dec 17, 2017 7:32:23 AM",68487248,17.7827,316645867,46906,30015
,10.1.69.135,PA-HERSHEY-DTACTR,10.1.70.204,"PA-HERSHEY-DTACTR, DB Servers",52 days 8 hours 39 minutes,Undefined TCP,Undefined TCP (30015/tcp),1.1218201037656903E7,335143756,548424,"Dec 17, 2017 7:30:58 AM",106507907,31.7798,228635849,51509,30015
,10.1.69.160,PA-HERSHEY-DTACTR,10.1.70.202,"PA-HERSHEY-DTACTR, DB Servers",52 days 8 hours 32 minutes,Undefined TCP,Undefined TCP (30015/tcp),1.1192649573221758E7,334380406,372233,"Dec 17, 2017 7:37:24 AM",51085966,15.2778,283294440,38057,30015
,10.1.9.89,"PA-HERSHEY-DTACTR, Systems Management",10.1.70.172,"PA-HERSHEY-DTACTR, DB Servers",264 days 7 hours 6 minutes,SQL-server (unclassified),sql-server (1433/tcp),1.1141982627615063E7,332866731,418076,"May 19, 2017 10:03:11 AM",89298593,26.8271,243568138,49180,1433
,10.1.9.48,"PA-HERSHEY-DTACTR, Systems Management",10.1.70.172,"PA-HERSHEY-DTACTR, DB Servers",159 days 20 hours 6 minutes,SQL-server (unclassified),sql-server (1433/tcp),1.087482420083682E7,324885373,324490,"Aug 31, 2017 9:03:13 PM",38143501,11.7406,286741872,53230,1433
,10.1.69.139,PA-HERSHEY-DTACTR,10.1.70.204,"PA-HERSHEY-DTACTR, DB Servers",52 days 8 hours 38 minutes,Undefined TCP,Undefined TCP (30015/tcp),1.0843737071129708E7,323956645,574183,"Dec 17, 2017 7:31:34 AM",110959348,34.2513,212997297,39923,30015
,10.1.69.133,PA-HERSHEY-DTACTR,10.1.70.204,"PA-HERSHEY-DTACTR, DB Servers",52 days 8 hours 39 minutes,Undefined TCP,Undefined TCP (30015/tcp),1.0822628753138075E7,323326034,536716,"Dec 17, 2017 7:30:50 AM",105870698,32.7443,217455336,29513,30015
,10.1.9.58,"PA-HERSHEY-DTACTR, Systems Management",10.1.70.172,"PA-HERSHEY-DTACTR, DB Servers",231 days 13 hours 47 minutes,SQL-server (unclassified),sql-server (1433/tcp),9019304.836820085,269451732,312261,"Jun 21, 2017 3:22:11 AM",45020919,16.7083,224430813,49184,1433
,10.1.9.144,"PA-HERSHEY-DTACTR, Systems Management",10.1.70.172,"PA-HERSHEY-DTACTR, DB Servers",108 days 12 hours 57 minutes,SQL-server (unclassified),sql-server (1433/tcp),8915835.246861925,266360578,323118,"Oct 22, 2017 4:12:20 AM",72228945,27.117,194131633,49178,1433
,10.1.69.146,PA-HERSHEY-DTACTR,10.1.70.204,"PA-HERSHEY-DTACTR, DB Servers",52 days 8 hours 37 minutes,Undefined TCP,Undefined TCP (30015/tcp),8819154.142259413,263472230,380044,"Dec 17, 2017 7:32:57 AM",68052239,25.829,195419991,19131,30015
,10.1.9.86,"Aternity, PA-HERSHEY-DTACTR, Systems Management",10.1.70.172,"PA-HERSHEY-DTACTR, DB Servers",108 days 16 hours 11 minutes,SQL-server (unclassified),sql-server (1433/tcp),8187024.669456067,244587362,288874,"Oct 22, 2017 12:58:29 AM",54401302,22.2421,190186060,49186,1433
,10.1.69.152,PA-HERSHEY-DTACTR,10.1.70.202,"PA-HERSHEY-DTACTR, DB Servers",52 days 8 hours 32 minutes,Undefined TCP,Undefined TCP (30015/tcp),7447601.071129707,222497082,274865,"Dec 17, 2017 7:37:22 AM",37065506,16.6589,185431576,42132,30015
,10.1.69.154,PA-HERSHEY-DTACTR,10.1.70.202,"PA-HERSHEY-DTACTR, DB Servers",52 days 8 hours 32 minutes,Undefined TCP,Undefined TCP (30015/tcp),7313275.046025105,218484092,228845,"Dec 17, 2017 7:37:23 AM",23258214,10.6453,195225878,10012,30015
,10.1.69.25,PA-HERSHEY-DTACTR,10.1.70.206,"PA-HERSHEY-DTACTR, DB Servers",52 days 8 hours 27 minutes,Undefined TCP,Undefined TCP (30015/tcp),6973290.677824268,208327059,288415,"Dec 17, 2017 7:42:14 AM",64817587,31.1134,143509472,56792,30015
